6.2101396385226185e-06,4.833174634939602e-06,5.7498364881457725e-06,1.1900084479393412e-06
7.5714691775506575e-06,1.1804400216558144e-06,5.447338060684673e-06,1.9804937381186387e-06
2.9640610789531786e-06,1.983913296912028e-06,2.626168452198861e-06,9.343215270856879e-07
1.5680672374586848e-06,9.358340739729614e-07,1.358801991645121e-06,8.261792666246639e-07
1.437710004148887e-06,8.255796366667536e-07,1.2303803296843455e-06,2.994988568250119e-06
8.763827144966115e-07,3.0058642660987827e-06,1.5742825981105305e-06,7.113426725167551e-07
1.9142442908022835e-06,7.138207223043503e-07,1.5171496753170243e-06,5.684674492899559e-07
1.8618961584420002e-06,5.714091061306608e-07,1.4315203390380584e-06,5.427109644843568e-07
6.394007932807096e-07,5.396659514823708e-07,6.044003739955634e-07,3.9093719288028694e-07
5.544750064466169e-07,3.922652218988043e-07,4.996836038698652e-07,4.222638591835504e-07
4.6830904300432703e-07,4.2127573499029894e-07,4.5193219883856413e-07,6.86038802383753e-07
4.056201453071255e-07,6.867578402298502e-07,4.97359424829191e-07,4.781775727950461e-07
5.542100142022748e-07,4.790993467318021e-07,5.291801919058376e-07,1.6402636466745862e-06
5.816459083044304e-07,1.6256521729455252e-06,9.261244466522654e-07,6.751398409187915e-07
1.0615473453413477e-06,6.835975397463234e-07,9.338115794777784e-07,3.644063711694496e-07
1.1443947376382127e-06,3.6337744526190593e-07,8.949217466915936e-07,2.475742938185285e-07
