6.800382150701303e-05,1.3025038382988006e-05
6.501513227132265e-05,1.889242503650255e-05
2.8062980316921816e-05,1.129837777449615e-05
1.4269456901666914e-05,8.519867809444059e-06
1.2856900286512627e-05,3.524219789239146e-05
1.8340682671963698e-05,8.287855933242793e-06
1.7206445905195137e-05,6.381309482481901e-06
1.6495232346276862e-05,6.143707152762055e-06
6.886340943784493e-06,4.391817152715252e-06
5.5959052710439596e-06,4.871682299809816e-06
5.107962323311316e-06,7.311292575632908e-06
5.50847398009199e-06,5.493509779054543e-06
5.885663908561011e-06,1.7776937620134908e-05
1.0116797806690802e-05,8.877151335607396e-06
1.0611143847620776e-05,4.172018315106383e-06
1.0174404325818882e-05,2.657597526511238e-06
